City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,dunedin,-45.8742,170.5036,8.22,72,52,1.77,NZ,1698516763
157,remire-montjoly,4.9167,-52.2667,33.02,58,0,6.69,GF,1698516763
158,tsiombe,-25.3,45.4833,23.83,81,0,2.36,MG,1698516764
159,constitucion,-35.3333,-72.4167,12.11,96,100,11.07,CL,1698516764
160,vorgashor,67.5833,63.95,-14.38,99,98,1.37,RU,1698516764
161,port sudan,19.6175,37.2164,29.76,69,20,3.79,SD,1698516764
162,nuuk,64.1835,-51.7216,-1.66,69,20,3.6,GL,1698516764
163,jamestown,42.097,-79.2353,13.9,81,100,4.63,US,1698516475
164,puerto barrios,15.7167,-88.6,28.08,78,40,4.12,GT,1698516765
165,nay pyi taw,19.745,96.1297,23.14,94,100,1.0,MM,1698516765
166,dalandzadgad,43.5708,104.425,6.01,43,54,4.68,MN,1698516765
167,utrik,11.2278,169.8474,28.31,76,89,7.91,MH,1698516765
168,meadow lakes,61.6247,-149.6011,1.46,74,0,1.54,US,1698516765
169,belyy yar,53.6039,91.3903,-5.06,74,0,2.0,RU,1698516766
170,praia,14.9215,-23.5087,29.3,65,20,7.72,CV,1698516766
171,tura,25.5198,90.2201,19.28,78,0,1.68,IN,1698516766
172,taulaga,-11.0553,-171.0883,27.92,77,34,4.27,AS,1698516766
173,nikolayevsk-on-amure,53.1406,140.73,-2.14,83,63,2.16,RU,1698516766
174,kerikeri,-35.2268,173.9474,12.73,90,100,1.34,NZ,1698516766
175,aldama,22.9167,-98.0667,29.09,62,29,2.58,MX,1698516555
176,broome,42.2506,-75.833,17.32,83,75,5.66,US,1698516767
177,colonia,50.9333,6.95,13.31,82,75,4.12,DE,1698516767
178,stornoway,58.2093,-6.3865,10.98,84,75,7.2,GB,1698516767
179,khandyga,62.6667,135.6,-14.83,93,95,1.52,RU,1698516767
180,laguna,38.421,-121.4238,17.23,60,0,5.14,US,1698516768
181,sinabang,2.4803,96.3801,25.76,88,95,1.17,ID,1698516768
182,andalgala,-27.5819,-66.3165,28.29,16,0,3.18,AR,1698516768
183,broken hill,-31.95,141.4333,18.37,18,38,3.85,AU,1698516768
184,tazovsky,67.4667,78.7,-13.94,91,93,4.97,RU,1698516768
185,klyuchi,52.2667,79.1667,-1.95,55,100,3.54,RU,1698516769
186,strezhevoy,60.7333,77.5889,-10.58,92,25,2.24,RU,1698516769
187,turkmenbasy,40.0222,52.9552,18.25,81,63,1.35,TM,1698516769
188,mahanoro,-19.9,48.8,23.75,90,9,2.26,MG,1698516769
189,mobaye,4.319,21.1786,22.91,88,50,0.53,CF,1698516769
190,hithadhoo,-0.6,73.0833,27.15,83,67,8.5,MV,1698516770
191,itaituba,-4.2761,-55.9836,41.32,19,12,2.16,BR,1698516770
192,ust-nera,64.5667,143.2,-17.81,99,98,1.31,RU,1698516770
193,milicz,51.5277,17.2714,11.03,85,94,2.9,PL,1698516770
194,hawaiian paradise park,19.5933,-154.9731,25.5,84,0,1.54,US,1698516771
195,kavaratti,10.5669,72.642,28.73,69,76,0.6,IN,1698516771
196,quimili,-27.6333,-62.4167,34.66,33,18,2.63,AR,1698516771
197,lata,40.1629,-8.3327,16.71,89,92,5.24,PT,1698516771
